id,version,id_code,name,group_code,group_label,tier,phase,likely_phase,phase_rationale,key_figures,primary_source,one_line_pitch,description,connects_to_raw,connects_to_ids,master_table_connections,discipline_phase,discipline_name,source_file,source_date
v6-knowledge-graphs-ontologies-and-the-semantic-web,v6,A8,"Knowledge Graphs, Ontologies & The Semantic Web",A,Tier A — High-Leverage Bridges,A,,6 or 8,,Berners-Lee|Gruber|Guha|Hendler|Horrocks,,,"RDF, OWL, SPARQL, description logics, and the practical engineering of machine-readable meaning. Directly relevant to the vault's existence as a linked note-base and to the planned NL Querying track. A concrete pairing for the more philosophical Semiotics and Logic tracks, and the backbone of modern retrieval-augmented AI.


---",Information Retrieval|NL Querying|Semiotics|Logic & Formal Semantics|AI|NLP|Writing Systems,||v5-semiotics-structuralism-and-the-science-of-signs||v5-machine-learning-and-statistical-learning-theory|v5-linguistics-and-natural-language-structure|v5-writing-systems-notation-and-symbolic-representation,"IR, NL Querying, Semiotics, Logic, AI",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v6-pragmatism,v6,B1,Pragmatism,B,Tier B — Strong Specialist Additions,B,,5,,Peirce|James|Dewey|Rorty|Brandom,,,"American pragmatism as a coherent tradition, not just as background for individual figures. Peirce already appears in Semiotics and Dewey in Aesthetics, but the tradition itself — meaning as consequence, truth as what works, inquiry as a social practice — deserves its own treatment. A natural companion to Epistemology and Philosophy of Science, and a bridge to Rorty's late-20th-century revival of pragmatism.",Semiotics|Aesthetics|Epistemology|Philosophy of Science|Philosophy of Mind|Rhetoric,v5-semiotics-structuralism-and-the-science-of-signs|v5-aesthetics-and-philosophy-of-art|v5-epistemology-and-philosophy-of-knowledge|v5-history-and-philosophy-of-science|v5-philosophy-of-mind-and-consciousness|v5-rhetoric-narrative-theory-and-story-systems,"Semiotics, Aesthetics, Epistemology",5,"Culture, History & Worldview",research-topics-v6.md,2026-04-16
v6-stochastic-processes-and-random-walks,v6,B2,Stochastic Processes & Random Walks,B,Tier B — Strong Specialist Additions,B,,8 or 9,,Kolmogorov|Feller|Doob|Itō|Lévy,,,"Markov chains, Brownian motion, martingales, Poisson processes, stochastic differential equations. The formal layer beneath probability that's silently assumed by DSP, generative music, finance, ML, and agent-based modeling. v5 has Probability but not the *process* side, which is the more practically useful half in any system that evolves in time.",Probability|DSP|Generative Music|Machine Learning|Dynamical Systems|Economics,||v5-generative-music-and-algorithmic-composition|v5-machine-learning-and-statistical-learning-theory|v5-dynamical-systems-and-bifurcation-theory|,"Probability, DSP, ML, Dynamical Systems",9,"Signal, Sound & Simulation",research-topics-v6.md,2026-04-16
v6-reinforcement-learning,v6,B3,Reinforcement Learning,B,Tier B — Strong Specialist Additions,B,,8,,Sutton|Barto|Bellman|Silver|Mnih,,,"Policies, value functions, temporal-difference learning, policy gradients, actor-critic methods, and the decision-theoretic view of AI. The unique topic that bridges decision theory (how action follows from belief), optimal control (Bellman's equations), neuroscience (dopamine and reward prediction error), and modern AI agents (AlphaGo, RLHF). Deserves its own topic separate from the generic ML roadmap item.",Decision Theory|Machine Learning|Cybernetics|Neuroscience|Robotics|Game Theory|AI Agents,v5-decision-theory-and-rationality|v5-machine-learning-and-statistical-learning-theory|v5-cybernetics-and-control-theory|v5-neuroscience-and-neural-computation|v5-robotics-and-embodied-intelligence|v5-game-theory-and-mechanism-design|v5-machine-learning-and-statistical-learning-theory,"Decision Theory, ML, Cybernetics, Neuroscience",8,Quantitative Reasoning & Decision,research-topics-v6.md,2026-04-16
v6-probabilistic-programming-and-graphical-models,v6,B4,Probabilistic Programming & Graphical Models,B,Tier B — Strong Specialist Additions,B,,8,,Pearl|Koller|Goodman|Gelman|Tenenbaum,,,"Bayesian networks, factor graphs, Markov random fields, and languages like Stan, Pyro, Gen, Church. The working-engineer's synthesis of probability, causal inference, and ML — a natural bridge that makes the abstract probability + causal-inference + ML triangle in v5 actually executable.",Probability|Causal Inference|Machine Learning|Logic|AI|Cognitive Science (rational analysis),|v5-causal-inference-and-causal-models|v5-machine-learning-and-statistical-learning-theory|v5-logic-formal-semantics-and-model-theory|v5-machine-learning-and-statistical-learning-theory|,"Probability, Causal Inf, ML, AI",8,Quantitative Reasoning & Decision,research-topics-v6.md,2026-04-16
v6-urban-planning-and-urbanism,v6,B5,Urban Planning & Urbanism,B,Tier B — Strong Specialist Additions,B,,6,,Jane Jacobs|Kevin Lynch|Jan Gehl|William H. Whyte|Alejandro Aravena,,,"The city as a complex adaptive system designed at human scale. Jacobs on emergent order in streets, Lynch's *Image of the City* on the cognitive maps of place, Gehl on life between buildings, Whyte's empirical studies of plaza use. A direct extension of Alexander's work into the civic scale and a concrete setting for pattern languages, affordance theory, and collective intelligence.",Architecture|Christopher Alexander|Pattern Languages|Ecological Psychology|Collective Intelligence|Systems Thinking|Complex Systems,||v5-pattern-languages-design-methods-and-morphological-analysis|v5-ecological-psychology-and-affordance-theory|v5-collective-intelligence-and-coordination-systems|v5-systems-thinking-and-system-dynamics|v5-complex-systems-and-chaos-theory,"Architecture, Alexander, Pattern Languages",6,Design & Making,research-topics-v6.md,2026-04-16
v6-astrobiology-and-origin-of-life,v6,B6,Astrobiology & Origin of Life,B,Tier B — Strong Specialist Additions,B,,7,,Oparin|Miller|Szostak|Kauffman|England|Deamer,,,"Prebiotic chemistry, the RNA world hypothesis, autocatalytic sets, dissipative adaptation, the Drake equation. The scientific question that Artificial Life *theorizes about* and Evolution *starts after*. Kauffman's autocatalytic sets are a direct conceptual cousin to ALife's self-organizing systems; England's dissipative-adaptation work is a live research front linking thermodynamics and origin.",Artificial Life|Evolution|Complex Systems|Thermodynamics|Morphogenesis|Philosophy of Mind (emergence of agency),v5-artificial-life-and-self-organization||v5-complex-systems-and-chaos-theory|v5-thermodynamics-statistical-mechanics-and-arrow-of-time|v5-morphogenesis-and-biological-pattern-formation|,"ALife, Evolution, Thermodynamics",7,"Life, Form & Nature",research-topics-v6.md,2026-04-16
v6-functional-programming-and-lambda-calculus,v6,B7,Functional Programming & Lambda Calculus,B,Tier B — Strong Specialist Additions,B,,10,,Church|Curry|Hughes|Wadler|Hickey,,,"A dedicated treatment distinct from Theory of Computation — the lineage from untyped lambda calculus through ML, Haskell, Scala, Clojure, and Rust's borrow system, including practical ideas (persistent data structures, monads, effects, algebraic data types) that currently show up only implicitly in the vault's software topics. Pairs tightly with Category Theory, where many FP concepts have their clean mathematical form.",Theory of Computation|Category Theory|Type Theory|Compiler Design|Software Architecture|Microservices,|v5-category-theory-and-abstract-algebra|v6-type-theory-and-homotopy-type-theory|v5-compiler-design-and-programming-language-theory||,"Computation, Category Theory, Compilers",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v6-neuroethology,v6,B8,Neuroethology,B,Tier B — Strong Specialist Additions,B,,7 or 10,,Tinbergen|von Frisch|Lorenz|Heiligenberg|Shadmehr,,,"The neural basis of *natural* behavior in its ecological context — how bats echolocate, how jellyfish swim, how electric fish navigate, how birds learn song. The biological side of what robotics and affordance theory approach computationally and philosophically. Explains *why* Braitenberg's vehicles and Brooks's subsumption architectures work as well as they do.",Evolution|Cognitive Science|Ecological Psychology|Robotics|Neuroscience|MiroFish|Artificial Life,|v5-cognitive-science-and-perception|v5-ecological-psychology-and-affordance-theory|v5-robotics-and-embodied-intelligence|v5-neuroscience-and-neural-computation||v5-artificial-life-and-self-organization,"Evolution, Robotics, Cogsci, MiroFish",7,"Life, Form & Nature",research-topics-v6.md,2026-04-16
v6-behavioral-ecology-and-sociobiology,v6,B9,Behavioral Ecology & Sociobiology,B,Tier B — Strong Specialist Additions,B,,7,,Tinbergen|Hamilton|Trivers|E.O. Wilson|Dawkins|West,,,"Kin selection, reciprocal altruism, parental investment, evolutionarily stable strategies, and the empirical side of evolutionary game theory. The missing biological substrate beneath Game Theory's mathematical treatment of cooperation, and a careful treatment requires engaging the historical controversies around Wilson's sociobiology programme.",Game Theory|Evolution|Collective Intelligence|Anthropology|Economics|MiroFish,v5-game-theory-and-mechanism-design||v5-collective-intelligence-and-coordination-systems|v5-anthropology-cultural-evolution-and-technology-studies||,"Game Theory, Evolution, Collective Intelligence",7,"Life, Form & Nature",research-topics-v6.md,2026-04-16
v6-complexity-economics-and-agent-based-modeling-in-economics,v6,B10,Complexity Economics & Agent-Based Modeling in Economics,B,Tier B — Strong Specialist Additions,B,,7 or 8,,W. Brian Arthur|Doyne Farmer|Tesfatsion|Bookstaber|Kirman,,,"Out-of-equilibrium economics, heterogeneous agents, increasing returns, and the Santa Fe Institute approach to markets as ecologies. Directly complements v5's Economics and Complex Systems tracks and makes the implicit ""markets as complex adaptive systems"" move explicit through simulation and model-building.",Economics|Complex Systems|Game Theory|Multi-Agent Simulation|Artificial Life|Network Science,|v5-complex-systems-and-chaos-theory|v5-game-theory-and-mechanism-design||v5-artificial-life-and-self-organization|v5-network-science-and-graph-theory,"Economics, Complex Systems, Multi-Agent",8,Quantitative Reasoning & Decision,research-topics-v6.md,2026-04-16
v6-hypertext-and-hypermedia,v6,B11,Hypertext & Hypermedia,B,Tier B — Strong Specialist Additions,B,,5 or 6,,Vannevar Bush|Ted Nelson|Doug Engelbart|Andy van Dam|Ward Cunningham,,,"Memex, Xanadu, NLS, HyperCard, wikis, Zettelkasten, and the lineage of linked-knowledge systems. Often folded into ""History of Computing"" but rich enough to stand alone, and particularly meaningful for an Obsidian vault — it *is* this topic's living realization.",History of Computing|HCI|Information Retrieval|Writing Systems|Distributed Cognition|Memory & Mnemonics,v5-history-of-computing-and-the-personal-computer-revolution|v5-human-computer-interaction-and-interface-design||v5-writing-systems-notation-and-symbolic-representation|v5-distributed-cognition-and-the-extended-mind|,"Computing History, HCI, IR, Writing Systems",6,Design & Making,research-topics-v6.md,2026-04-16
v6-information-architecture,v6,B12,Information Architecture,B,Tier B — Strong Specialist Additions,B,,6,,Wurman|Morville|Rosenfeld|Arango,,,"How knowledge gets structured for discovery — taxonomies, facets, wayfinding, findability, and the ""polar bear"" classification of IA foundations. The design-practice counterpart to the semantic-web / knowledge-graph track and directly applicable to maintaining a vault of this kind.",Information Retrieval|HCI|Knowledge Graphs|Writing Systems|Cartography|Semiotics,|v5-human-computer-interaction-and-interface-design|v6-knowledge-graphs-ontologies-and-the-semantic-web|v5-writing-systems-notation-and-symbolic-representation|v5-cartography-and-data-visualization|v5-semiotics-structuralism-and-the-science-of-signs,"IR, HCI, Knowledge Graphs",6,Design & Making,research-topics-v6.md,2026-04-16
v6-philosophy-of-time,v6,B13,Philosophy of Time,B,Tier B — Strong Specialist Additions,B,,10,,McTaggart|Bergson|Dainton|Rovelli|Le Poidevin,,,"A-series vs. B-series, tense, presentism vs. eternalism, the ""specious present,"" duration, and Rovelli's recent thermodynamic account of time. A philosophical capstone to Thermodynamics, Relativity, and Phenomenology — the three existing vault topics in which the nature of time is already implicitly at play.",Thermodynamics|Relativity|Phenomenology|Process Philosophy|Eastern Philosophy|Cognitive Science,v5-thermodynamics-statistical-mechanics-and-arrow-of-time||v5-phenomenology-and-embodied-experience|v6-process-philosophy|v5-eastern-philosophy|v5-cognitive-science-and-perception,"Thermodynamics, Relativity, Phenomenology",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v6-cliodynamics-and-mathematical-history,v6,B14,Cliodynamics & Mathematical History,B,Tier B — Strong Specialist Additions,B,,7 or 8,,Turchin|Korotayev|Goldstone|Scheidel,,,"Quantitative history — secular cycles, elite overproduction, structural-demographic theory, and long-wave models of state collapse and recovery. A rare genuinely new field that applies complex systems and dynamical modeling to centuries-long historical data. A striking demonstration that the vault's favorite tools work on the human scale, not just the biological or computational.",Complex Systems|Systems Thinking|Economics|Anthropology|History & Philosophy of Science|Dynamical Systems,v5-complex-systems-and-chaos-theory|v5-systems-thinking-and-system-dynamics||v5-anthropology-cultural-evolution-and-technology-studies|v5-history-and-philosophy-of-science|v5-dynamical-systems-and-bifurcation-theory,"Complex Systems, Dynamical Systems, Economics",8,Quantitative Reasoning & Decision,research-topics-v6.md,2026-04-16
v6-chronobiology-and-circadian-rhythms,v6,B15,Chronobiology & Circadian Rhythms,B,Tier B — Strong Specialist Additions,B,,10,,Pittendrigh|Halberg|Takahashi|Young|Foster,,,"Biological oscillators, entrainment, phase relationships, and the genetic-molecular basis of daily and seasonal rhythms. A concrete biological case of dynamical systems and a surprising bridge to music theory (rhythm, entrainment), cognitive science (attention, sleep), and architecture (lighting design).


---",Dynamical Systems|Neuroscience|Evolution|Music Theory|Cognitive Science|Architecture,v5-dynamical-systems-and-bifurcation-theory|v5-neuroscience-and-neural-computation|||v5-cognitive-science-and-perception|,"Dynamical Systems, Neuroscience, Music",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v6-origami-and-computational-folding,v6,C1,Origami & Computational Folding,C,Tier C — Interesting Niche Additions,C,,10,,Robert Lang|Erik Demaine|Tomohiro Tachi|David Huffman,,,"Mathematical origami, rigid folding, Miura-ori tessellations, self-folding materials, and the algorithms that turn a target shape into a crease pattern. A clean intersection of geometry, materials, and art with direct applications to deployable structures and metamaterials.",Geometry & Topology|Materials Science|Biomimicry|Algorithmic Art|Architecture,|v5-materials-science-metamaterials-and-programmable-matter|v5-biomimicry-and-nature-inspired-design||,"Geometry, Materials, Biomimicry",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v6-islamic-geometric-patterns-and-ornament,v6,C2,Islamic Geometric Patterns & Ornament,C,Tier C — Interesting Niche Additions,C,,6 or 10,,Bourgoin|Critchlow|El-Said|Lu & Steinhardt,,,"Quasiperiodic tilings, girih patterns, the Topkapı Scroll, and the discovery that 15th-century craftsmen anticipated Penrose tilings by five centuries. A concrete bridge between sacred geometry, tiling mathematics, ornament theory, and architecture.",Geometry & Topology|Architecture|Algorithmic Art|Typography|Pattern Languages,|||v5-typography-and-graphic-design-history|v5-pattern-languages-design-methods-and-morphological-analysis,"Geometry, Architecture, Algorithmic Art",6,Design & Making,research-topics-v6.md,2026-04-16
v6-dance-notation-and-movement-analysis,v6,C3,Dance Notation & Movement Analysis,C,Tier C — Interesting Niche Additions,C,,4,,Rudolf Laban|Benesh|Eshkol-Wachman|Ann Hutchinson Guest,,,"Labanotation, Benesh Movement Notation, effort-shape theory. The rare notational system for the moving body — a clean case study for the thesis that ""writing systems shape what can be expressed,"" applied to a non-textual, non-auditory medium.",Writing Systems & Notation|Semiotics|Phenomenology|Filmmaking|Music Theory (rhythm),|v5-semiotics-structuralism-and-the-science-of-signs|v5-phenomenology-and-embodied-experience||,"Writing Systems, Semiotics, Phenomenology",4,"Language, Signs & Representation",research-topics-v6.md,2026-04-16
v6-sound-design-and-foley,v6,C4,Sound Design & Foley,C,Tier C — Interesting Niche Additions,C,,9,,Walter Murch|Ben Burtt|Randy Thom|Jack Foley|Gary Rydstrom,,,"The designed soundscape of film and games, distinct from musical scoring. Murch's *In the Blink of an Eye* bridges sound design and editing; Ben Burtt's work on *Star Wars* is applied psychoacoustics. A missing companion to the vault's Filmmaking and Music Theory topics.",Filmmaking|Music Theory|Musical Acoustics & Psychoacoustics|Software Synthesizer|Game Design,||v5-musical-acoustics-and-psychoacoustics||v5-game-design-ludology-and-interactive-systems,"Filmmaking, Music, Psychoacoustics",9,"Signal, Sound & Simulation",research-topics-v6.md,2026-04-16
v6-attention-studies-and-the-attention-economy,v6,C5,Attention Studies & The Attention Economy,C,Tier C — Interesting Niche Additions,C,,5 or 6,,Herbert Simon|James Williams|Yves Citton|Jonathan Crary|Tim Wu,,,"Attention as a scarce cognitive resource, the economics of its capture, and the political and ethical stakes. Extends cognitive science into media theory and HCI with a specifically contemporary edge.",Cognitive Science|Media Theory|HCI|Economics|Philosophy of Mind,v5-cognitive-science-and-perception|v5-media-theory-and-philosophy-of-technology|v5-human-computer-interaction-and-interface-design||v5-philosophy-of-mind-and-consciousness,"Cogsci, Media Theory, HCI",5,"Culture, History & Worldview",research-topics-v6.md,2026-04-16
v6-somatic-practices-and-movement-science,v6,C6,Somatic Practices & Movement Science,C,Tier C — Interesting Niche Additions,C,,3 or 6,,F.M. Alexander|Moshé Feldenkrais|Ida Rolf|Thomas Hanna,,,"Body-centered disciplines that treat movement as a cognitive practice. A practical complement to phenomenology and embodied cognition, and an often-overlooked branch of the ""mind-body"" track in both Western and Eastern traditions.",Phenomenology|Cognitive Science|Ecological Psychology|Architecture (body in space),v5-phenomenology-and-embodied-experience|v5-cognitive-science-and-perception|v5-ecological-psychology-and-affordance-theory|,"Phenomenology, Cogsci, Ecological Psych",3,Mind & Perception,research-topics-v6.md,2026-04-16
v6-comparative-mythology-and-depth-psychology,v6,C7,Comparative Mythology & Depth Psychology,C,Tier C — Interesting Niche Additions,C,,5,,Jung|Campbell|Eliade|Hillman|Dumézil,,,"Archetypes, the monomyth, and structural patterns in myth across cultures. A psychological / anthropological counterpart to the more formal Rhetoric & Narrative topic, and a bridge to Jungian psychology's ongoing influence on design, film, and AI narrative generation.",Rhetoric & Narrative|Anthropology|Semiotics|Filmmaking|Aesthetics,|v5-anthropology-cultural-evolution-and-technology-studies|v5-semiotics-structuralism-and-the-science-of-signs||v5-aesthetics-and-philosophy-of-art,"Rhetoric, Anthropology, Semiotics",5,"Culture, History & Worldview",research-topics-v6.md,2026-04-16
v6-formal-verification-and-model-checking,v6,C8,Formal Verification & Model Checking,C,Tier C — Interesting Niche Additions,C,,10,,Dijkstra|Hoare|Clarke|Emerson|Leslie Lamport,,,"Hoare logic, separation logic, TLA⁺, CTL / LTL, and how we prove that programs meet their specifications. A practical, industrial-grade application of logic and type theory with direct relevance to distributed systems.",Logic & Formal Semantics|Type Theory|Distributed Systems (DDIA)|Theory of Computation|Compiler Design,|v6-type-theory-and-homotopy-type-theory|||v5-compiler-design-and-programming-language-theory,"Logic, Type Theory, Distributed Systems",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v6-concurrency-theory,v6,C9,Concurrency Theory,C,Tier C — Interesting Niche Additions,C,,10,,Hoare (CSP)|Milner (CCS|π-calculus)|Hewitt (Actors)|Lamport,,,The mathematics and practice of concurrent computation. Deeper than the engineering-level treatment in Microservices or DDIA; the formal side of what those books handle as pragmatics.,Distributed Systems (DDIA)|Microservices|Theory of Computation|Logic|Type Theory,|||v5-logic-formal-semantics-and-model-theory|v6-type-theory-and-homotopy-type-theory,"Distributed Systems, Microservices, Computation",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v6-history-of-mathematics,v6,C10,History of Mathematics,C,Tier C — Interesting Niche Additions,C,,2,,Morris Kline|Boyer|Struik|Grattan-Guinness,,,"The actual narrative of how mathematical ideas emerged — Babylonian tablets, Alexandrian geometry, Islamic algebra, European analysis, 19th-century rigor, 20th-century foundations. Complements Philosophy of Mathematics with concrete story and provides the historical grounding that makes category theory, topology, and information theory feel like events rather than eternal truths.",Philosophy of Mathematics|Category Theory|Geometry|Greek Philosophy|History & Philosophy of Science,v5-philosophy-of-mathematics|v5-category-theory-and-abstract-algebra|v5-geometry-topology-and-spatial-computation||v5-history-and-philosophy-of-science,"Phil of Math, Category Theory, Geometry",2,Structure & Connection,research-topics-v6.md,2026-04-16
v6-evolutionary-epistemology,v6,C11,Evolutionary Epistemology,C,Tier C — Interesting Niche Additions,C,,7,,Donald T. Campbell|Popper|Lorenz|Ruse|Plotkin,,,"Applies Darwinian selection to the growth of knowledge itself — conjectures and refutations as selection pressures, cognitive architectures as evolved. The cleanest bridge between Evolution and Epistemology and a natural companion to v5's planned Philosophy of Science topic.",Evolution|Epistemology|Philosophy of Science|Cognitive Science|AI,|v5-epistemology-and-philosophy-of-knowledge|v5-history-and-philosophy-of-science|v5-cognitive-science-and-perception|v5-machine-learning-and-statistical-learning-theory,"Evolution, Epistemology, Cogsci",7,"Life, Form & Nature",research-topics-v6.md,2026-04-16
v6-reservoir-computing-and-neuromorphic-computation,v6,C12,Reservoir Computing & Neuromorphic Computation,C,Tier C — Interesting Niche Additions,C,,10,,Jaeger|Maass|Mead|Indiveri|Tanaka,,,"Dynamical systems as computational substrate — echo state networks, liquid state machines, memristive hardware. A concrete fusion of dynamical systems, neuroscience, and computation that points beyond von Neumann architectures.


---",Dynamical Systems|Neuroscience|Machine Learning|Theory of Computation|Artificial Life,v5-dynamical-systems-and-bifurcation-theory|v5-neuroscience-and-neural-computation|v5-machine-learning-and-statistical-learning-theory||v5-artificial-life-and-self-organization,"Dynamical Systems, Neuroscience, ML",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
v7-alan-kay,v7,A1,Alan Kay,A,Group A — Individual Thinkers & Creators,,,,,Smalltalk|the Dynabook|Squeak|Croquet|the Xerox PARC Learning Research Group,"Smalltalk, Dynabook",Computing as a medium for children and thought,"One of the clearest voices on what computing could have been and might still become. Kay's work spans the Dynabook concept (a children's personal computer, conceived in 1972) that anticipated the iPad by forty years, the message-passing OOP of Smalltalk that influenced Objective-C and Ruby, the pedagogy of Squeak and Etoys for children, and a sustained critique of the software industry's failure to live up to its early promise. His talks (""The Computer Revolution Hasn't Happened Yet,"" ""Doing with Images Makes Symbols,"" ""The Future Doesn't Have to Be Incremental"") are a master class in thinking about media, tools, and amplification of human capability.",History of Computing|HCI|Seymour Papert|Bret Victor,v5-history-of-computing-and-the-personal-computer-revolution|v5-human-computer-interaction-and-interface-design|v7-seymour-papert|v7-bret-victor,,6,Design & Making,research-topics-v7.md,2026-04-16
v7-bret-victor,v7,A2,Bret Victor,A,Group A — Individual Thinkers & Creators,,,,,Inventing on Principle|Dynamicland|Learnable Programming|Magic Ink|Up and Down the Ladder of Abstraction,"Inventing on Principle, Dynamicland",Tools that let creators see what they are making,"A living continuation of the Kay / Engelbart lineage. Victor argues — and demonstrates — that creators need to *see* what they are making, and that static code with numeric literals hard-coded into it is a relic of print. *Inventing on Principle* is one of the most watched talks in software; *Dynamicland* is his ongoing experiment in turning a physical community space into a shared computational medium. The essays are as carefully written as the demos are choreographed.",HCI|Alan Kay|Writing Systems|Memory & Mnemonics (v6),v5-human-computer-interaction-and-interface-design|v7-alan-kay|v5-writing-systems-notation-and-symbolic-representation|,,6,Design & Making,research-topics-v7.md,2026-04-16
v7-donald-knuth,v7,A3,Donald Knuth,A,Group A — Individual Thinkers & Creators,,,,,The Art of Computer Programming|TeX|MetaFont|literate programming|Concrete Mathematics,"TAOCP, TeX, literate programming",Algorithms and typography as unified craft,"Fifty years into TAOCP, and still the deepest treatment of algorithmic analysis ever written. Knuth also designed TeX because he wanted his book to be typeset properly, invented literate programming (code and documentation as one woven document), co-wrote *Concrete Mathematics*, won the 1974 Turing Award, and — as ""Don Knuth"" — plays the pipe organ. A genuinely unified aesthetic of correctness, care, and beauty applied across mathematics, typography, and software.",Theory of Computation|Typography|SICP (Group B)|Compiler Design (v5),|v5-typography-and-graphic-design-history||v5-compiler-design-and-programming-language-theory,,6,Design & Making,research-topics-v7.md,2026-04-16
v7-gregory-bateson,v7,A4,Gregory Bateson,A,Group A — Individual Thinkers & Creators,,,,,Steps to an Ecology of Mind|Mind and Nature|the double-bind theory|Naven|Angels Fear,Steps to an Ecology of Mind,"""The pattern which connects"" across mind and nature","A polymath whose work reads today like a cybernetics of meaning. Bateson's ""the pattern which connects"" is one of the most evocative phrases in 20th-century thought; his double-bind theory shaped family therapy; his late work on the ecology of ideas anticipated Lovelock, Varela, and much of contemporary systems-ecology. He moved through anthropology, psychiatry, dolphin communication, and epistemology as though they were the same subject — because, for him, they were. The sentences themselves repay slow reading.",Cybernetics|Anthropology|Systems Thinking|Enactivism (v6),v5-cybernetics-and-control-theory|v5-anthropology-cultural-evolution-and-technology-studies|v5-systems-thinking-and-system-dynamics|v6-enactivism-and-enactive-cognition,,7,"Life, Form & Nature",research-topics-v7.md,2026-04-16
v7-marvin-minsky,v7,A5,Marvin Minsky,A,Group A — Individual Thinkers & Creators,,,,,The Society of Mind|The Emotion Machine|K-lines|frames|Perceptrons,The Society of Mind,"A modular, non-unified theory of cognition","Co-founder of the MIT AI Lab and one of the architects of symbolic AI. *The Society of Mind* is a modular, non-unified theory of cognition presented as 270 one-page essays — a strange and original form for a strange and original claim. Minsky was also a restless critic of neural-network orthodoxies (*Perceptrons*, with Papert) and a witty commentator on everything from Penrose's physics to Jewish mysticism. His *Emotion Machine* is a late return to the same problem from a different angle.",Cognitive Science|Philosophy of Mind|AI|Seymour Papert,v5-cognitive-science-and-perception|v5-philosophy-of-mind-and-consciousness|v5-machine-learning-and-statistical-learning-theory|v7-seymour-papert,,10,Frontiers & Deep Structure,research-topics-v7.md,2026-04-16
v7-seymour-papert,v7,A6,Seymour Papert,A,Group A — Individual Thinkers & Creators,,,,,Mindstorms|The Children's Machine|Logo|constructionism|LEGO/Logo,"Mindstorms, Logo, constructionism","Children as scientists, learning as making","The great theorist of children-as-scientists. Papert studied with Piaget in Geneva before moving to MIT; his *constructionism* argues that learning is deepest when the learner constructs a shareable artifact. Logo and its turtle are the classic instantiation, but the philosophy generalizes: every Scratch, every micro:bit, every maker-space assignment owes him a debt. *Mindstorms* (1980) remains one of the most ambitious and hopeful books ever written about computers and education.",Cognitive Science|Developmental Psychology (Group D)|Alan Kay|Minsky,v5-cognitive-science-and-perception|v7-developmental-psychology|v7-alan-kay|,,10,Frontiers & Deep Structure,research-topics-v7.md,2026-04-16
v7-rich-hickey,v7,A7,Rich Hickey,A,Group A — Individual Thinkers & Creators,,,,,"Clojure|ClojureScript|Datomic|""Simple Made Easy|"" ""Hammock-Driven Development|"" ""The Value of Values""","Clojure, Datomic, Simple Made Easy",A working programmer's philosophy of simplicity,"Hickey designs languages for the working programmer and argues carefully for each decision. Clojure brought Lisp back into industrial relevance; Datomic rethought databases around immutable facts indexed by time; the talks are as responsible as the code for shifting how a generation of developers think about simplicity, identity, and time. ""Simple Made Easy"" has become canonical; ""Hammock-Driven Development"" is a genuinely useful piece of methodology advice.",Functional Programming (v6)|Software Architecture|Building Microservices|DDIA,v6-functional-programming-and-lambda-calculus|||,,10,Frontiers & Deep Structure,research-topics-v7.md,2026-04-16
v7-leslie-lamport,v7,A8,Leslie Lamport,A,Group A — Individual Thinkers & Creators,,,,,"TLA+|Paxos|""Time|Clocks|and the Ordering of Events|"" Lamport clocks|LaTeX","TLA+, Paxos, Lamport clocks, LaTeX",Think before you code; mathematics as the thinking tool,Lamport's distributed-systems papers are so foundational that people forget he *also* gave us LaTeX. Paxos and the logical-clocks paper are indispensable; Byzantine generals formalized fault-tolerance before the term was commonplace; TLA+ is his ongoing campaign for specifying systems mathematically before coding them. His 2013 Turing Lecture argues that programmers should think before they code and that mathematics is the best thinking tool we have.,Distributed Systems (DDIA)|Formal Verification (v6)|Concurrency Theory (v6)|Type Theory (v6),|v6-formal-verification-and-model-checking|v6-concurrency-theory|v6-type-theory-and-homotopy-type-theory,,10,Frontiers & Deep Structure,research-topics-v7.md,2026-04-16
v7-brian-eno,v7,A9,Brian Eno,A,Group A — Individual Thinkers & Creators,,,,,Ambient 1: Music for Airports|Oblique Strategies|My Life in the Bush of Ghosts|77 Million Paintings|Reflection,"Ambient, Oblique Strategies, generative apps","Music as system, creativity under constraint","A composer who treats music as system, not message. Eno invented ""ambient"" as a genre, co-created the Oblique Strategies deck with Peter Schmidt as a stuck-creator's toolkit, and produced seminal records for Bowie, Talking Heads, U2, and James. His generative apps (*Bloom*, *Reflection*, the iOS generative sound installations) are direct descendants of his systems thinking. *A Year with Swollen Appendices* and the various talks on ""scenius"" are primary-source generative-art theory.",Generative Music (v5)|Algorithmic Art|Complex Systems|John Cage,v5-generative-music-and-algorithmic-composition||v5-complex-systems-and-chaos-theory|v7-john-cage,,9,"Signal, Sound & Simulation",research-topics-v7.md,2026-04-16
